Date ,Day of Week,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
23-Oct-24,Wednesday,October,Q4,2024,EQ,1362.80,1370.80,1335.20,1362.85,1339.20,1340.45,1348.49,1621.40,754.50,1916219.00,2584005349.90,107069.00
22-Oct-24,Tuesday,October,Q4,2024,EQ,1374.70,1387.10,1353.90,1375.50,1365.00,1362.85,1365.63,1621.40,754.50,2467299.00,3369411719.20,151875.00
21-Oct-24,Monday,October,Q4,2024,EQ,1409.90,1412.90,1371.30,1405.60,1375.80,1375.50,1383.23,1621.40,754.50,1644382.00,2274563360.60,107358.00
18-Oct-24,Friday,October,Q4,2024,EQ,1389.00,1410.55,1376.00,1394.70,1405.10,1405.60,1398.94,1621.40,754.50,1290065.00,1804723667.40,88317.00
17-Oct-24,Thursday,October,Q4,2024,EQ,1403.80,1408.00,1387.55,1403.80,1392.70,1394.70,1397.01,1621.40,754.50,1418861.00,1982164017.25,69893.00
16-Oct-24,Wednesday,October,Q4,2024,EQ,1418.00,1418.40,1392.00,1420.30,1400.50,1403.80,1404.69,1621.40,754.50,1450465.00,2037448591.05,81228.00
15-Oct-24,Tuesday,October,Q4,2024,EQ,1415.95,1424.70,1407.00,1410.30,1419.30,1420.30,1417.81,1621.40,754.50,1018477.00,1444009120.15,50547.00
14-Oct-24,Monday,October,Q4,2024,EQ,1418.00,1426.00,1407.15,1408.25,1408.40,1410.30,1414.48,1621.40,754.50,762384.00,1078377759.85,46888.00
11-Oct-24,Friday,October,Q4,2024,EQ,1415.20,1426.85,1405.20,1417.20,1408.65,1408.25,1412.96,1621.40,754.50,1158809.00,1637354956.95,54411.00
10-Oct-24,Thursday,October,Q4,2024,EQ,1417.00,1430.05,1406.85,1408.15,1417.60,1417.20,1416.57,1621.40,754.50,1628495.00,2306869891.95,85313.00
09-Oct-24,Wednesday,October,Q4,2024,EQ,1424.75,1432.95,1404.35,1418.55,1410.75,1408.15,1419.33,1621.40,754.50,1507508.00,2139657465.90,79759.00
08-Oct-24,Tuesday,October,Q4,2024,EQ,1342.00,1424.35,1342.00,1355.20,1421.00,1418.55,1399.43,1621.40,754.50,3031170.00,4241918740.60,142022.00
07-Oct-24,Monday,October,Q4,2024,EQ,1410.00,1423.90,1337.00,1413.70,1353.00,1355.20,1363.29,1621.40,754.50,4531821.00,6178203319.45,230968.00
04-Oct-24,Friday,October,Q4,2024,EQ,1424.80,1446.40,1404.20,1425.20,1410.00,1413.70,1424.38,1621.40,754.50,2611371.00,3719590982.10,107828.00
03-Oct-24,Thursday,October,Q4,2024,EQ,1452.75,1469.00,1414.20,1467.50,1426.05,1425.20,1440.00,1621.40,754.50,3967953.00,5713838720.15,127891.00
01-Oct-24,Tuesday,October,Q4,2024,EQ,1448.20,1472.85,1448.00,1448.20,1463.20,1467.50,1461.98,1621.40,754.50,1687795.00,2467516453.45,99327.00
30-Sep-24,Monday,September,Q3,2024,EQ,1456.70,1468.75,1444.00,1456.70,1446.90,1448.20,1451.26,1621.40,754.50,2042408.00,2964072158.65,84409.00
